numeroDentes;FatorQ;
20;1.7;
21;1.725;
22;1.75;
23;1.775;
24;1.8;
25;1.816666667;
26;1.833333333;
27;1.85;
28;1.866666667;
29;1.883333333;
30;1.9;
31;1.9125;
32;1.925;
33;1.9375;
34;1.95;
35;1.9625;
36;1.975;
37;1.9875;
38;2;
39;2.008333333;
40;2.016666667;
41;2.025;
42;2.033333333;
43;2.041666667;
44;2.05;
45;2.058333333;
46;2.066666667;
47;2.075;
48;2.083333333;
49;2.091666667;
50;2.1;
51;2.105;
52;2.11;
53;2.115;
54;2.12;
55;2.125;
56;2.13;
57;2.135;
58;2.14;
59;2.145;
60;2.15;
61;2.155;
62;2.16;
63;2.165;
64;2.17;
65;2.175;
66;2.18;
67;2.185;
68;2.19;
69;2.195;
70;2.2;
71;2.203333333;
72;2.206666667;
73;2.21;
74;2.213333333;
75;2.216666667;
76;2.22;
77;2.223333333;
78;2.226666667;
79;2.23;
80;2.233333333;
81;2.236666667;
82;2.24;
83;2.243333333;
84;2.246666667;
85;2.25;
86;2.253333333;
87;2.256666667;
88;2.26;
89;2.263333333;
90;2.266666667;
91;2.27;
92;2.273333333;
93;2.276666667;
94;2.28;
95;2.283333333;
96;2.286666667;
97;2.29;
98;2.293333333;
99;2.296666667;
100;2.3;
101;2.301;
102;2.302;
103;2.303;
104;2.304;
105;2.305;
106;2.306;
107;2.307;
108;2.308;
109;2.309;
110;2.31;
111;2.311;
112;2.312;
113;2.313;
114;2.314;
115;2.315;
116;2.316;
117;2.317;
118;2.318;
119;2.319;
120;2.32;
121;2.321;
122;2.322;
123;2.323;
124;2.324;
125;2.325;
126;2.326;
127;2.327;
128;2.328;
129;2.329;
130;2.33;
131;2.331;
132;2.332;
133;2.333;
134;2.334;
135;2.335;
136;2.336;
137;2.337;
138;2.338;
139;2.339;
140;2.34;
141;2.341;
142;2.342;
143;2.343;
144;2.344;
145;2.345;
146;2.346;
147;2.347;
148;2.348;
149;2.349;
150;2.35;
151;2.351;
152;2.352;
153;2.353;
154;2.354;
155;2.355;
156;2.356;
157;2.357;
158;2.358;
159;2.359;
160;2.36;
161;2.361;
162;2.362;
163;2.363;
164;2.364;
165;2.365;
166;2.366;
167;2.367;
168;2.368;
169;2.369;
170;2.37;
171;2.371;
172;2.372;
173;2.373;
174;2.374;
175;2.375;
176;2.376;
177;2.377;
178;2.378;
179;2.379;
180;2.38;
181;2.381;
182;2.382;
183;2.383;
184;2.384;
185;2.385;
186;2.386;
187;2.387;
188;2.388;
189;2.389;
190;2.39;
191;2.391;
192;2.392;
193;2.393;
194;2.394;
195;2.395;
196;2.396;
197;2.397;
198;2.398;
199;2.399;
200;2.4;
