FatorServico;10h;24h
Agitadores/Líquidos ;1;1.25
Agitadores/Misturas de polpa;1.25;1.5
Agitadores/Semilíquidos de densidade variável ;1.25;1.5
Alimentadores/Alimentadores helicoidais ;1.25;1.5
Alimentadores/Alimentadores recíprocos;1.75;2
Alimentadores/Transportadores(esteiras e correias);1.25;1.5
Bombas/ Centrífugas;1;1.25
Bombas/Dupla ação multicilíndrica;1.25;1.5
Bombas/Recíprocas de descargas livres;1.25;1.5
Bombas/Rotativas de engrenagens ou lobos;1;1.25
Britadores/Pedra e minérios ;1.75;1
Cervejarias e Destilarias/Cozinhadores-serviço contínuo;1;1.25
Cervejarias e Destilarias/Tachos de fermentação -serviço contínuo;1;1.25
Cervejarias e Destilarias/Misturadores;1;1.25
Clarificadores;1;1.25
Classificadores;1;1.25
Dragas/Guinchos. transportadores e bombas;1.25;1.5
Dragas/Cabeçotes rotativos e peneiras;1.75;2
Eixo de Transmissão/Cargas uniformes;1;1.25
Eixo de Transmissão/Cargas pesadas;1.25;1.5
Elevadores/Caçambas-carga uniforme;1;1.25
Elevadores/Caçambas-carga pesadas;1.25;1.5
Elevadores/Elevadores de Carga;1.25;1.5
Embobinadeiras/Metais;1.25;1.5
Embobinadeiras/Papel;1;1.25
Embobinadeiras/Têxtil;1.25;1.5
Enlatadoras e Engarrafadoras;1;1.25
Escadas Rolantes;1;1.25
Fábrica de Cimento/Britadores de mandíbulas;1.75;2
Fábrica de Cimento/Fornos rotativos;1.75;1.5
Fábrica de Cimento/Moinho de bolas e rolos;1.75;1.5
Fábrica de Papel/Agitadores (misturadores);1.25;1.5
Fábrica de Papel/Alvejadores;1;1.25
Fábrica de Papel/Batedores e despolpadores;1.25;1.5
Fábrica de Papel/Calandras;1.25;1.8
Fábrica de Papel/Hipercalandras;1.75;3
Fábrica de Papel/Cilindros;1.25;1.5
Fábrica de Papel/Descascadores mecânicos e hidráulicos;1.25;1.8
Fábrica de Papel/Tambores e Descascadores;1.75;2
Fábrica de Papel/Emboinadores;1;1.25
Fábrica de Papel/Esticadores de feltro;1.25;1.5
Fábrica de Papel/Jardanas;1.75;2
Fábrica de Papel/Prensas ;1;1.28
Fábrica de Papel/Secadoras;1.25;1.8
Geradores;1;1.25
Guinchos e Gruas/Cargas uniformes;1.25;1.8
Guinchos e Gruas/Cargas pesadas;1.75;2
Indústria Alimentícia/Cozinhadores de cereias;1;1.25
Indústria Alimentícia/Enlatadoras e engarrafadoras;1;1.25
Indústria Alimentícia/Misturadores de massa ;1.25;1.8
Indústria Alimentícia/Moedores de Carne;1.25;1.8
Indústria Alimentícia/Picadores;1.25;1.8
Indústria de Borracha e Plástico/Calandras;;1.8
Indústria de Borracha e Plástico/Equipamentos de Laboratório;1.25;1.8
Indústria de Borracha e Plástico/Extrusoras (entubadoras);;1.5
